stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,6.4701172999921255,7.03844730000128,7.03844730000128,7.053049199981615,7.353011999977753,right,10.0,1,1,2.220140999997966,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
1,2,8.0,9.286335499986308,9.787156599981245,9.787156599981245,9.787156599981245,10.085950199980289,right,8.0,1,1,0.49916579999262467,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
2,2,6.0,10.319968999974662,10.802982599998359,10.802982599998359,10.820142599986866,11.103159499994945,left,-6.0,1,1,0.4996769999852404,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
3,2,4.0,11.320365399995353,11.819907600001898,11.819907600001898,11.837297499994747,12.119299199985107,left,-4.0,1,1,0.4535314999811817,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
4,2,2.0,12.303309899987653,12.802576099988073,12.802576099988073,12.820027799985837,13.102467499993509,right,2.0,1,1,0.40761389999534003,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
5,1,0.0,13.235829999990528,13.735772199986968,13.735772199986968,13.735772199986968,14.03551739998511,left,-0.0,0,0,0.6997928000055254,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
6,1,1.0,14.45239659998333,14.953080199979013,14.953080199979013,14.953080199979013,15.269038899976294,left,-1.0,0,0,0.5705439999874216,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
7,1,2.0,15.551627999986522,16.035602799995104,16.035602799995104,16.052449999988312,16.335371099994518,left,-2.0,1,1,0.40193900000303984,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
8,1,2.0,16.468358199985232,16.968306499999017,16.968306499999017,16.968306499999017,17.268960899993544,left,-2.0,1,1,0.47145730000920594,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
9,1,2.0,17.468984199978877,17.968698099983158,17.968698099983158,17.98581079998985,18.268036599998595,left,-2.0,1,1,0.36431350000202656,550432,001,2023-09-01_11h39.00.198,tutorial 1 final,2023.1.3,60.71037207309084,
