trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,7.646121400000993,8.159338099998422,8.159338099998422,8.177485499996692,8.461240799995721,right,10.0,1,1,326.0483959000121,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
1,2,8.0,9.277388300004532,9.777289999998175,9.777289999998175,9.777289999998175,10.076986100000795,right,8.0,1,1,330.14500610000687,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
2,2,6.0,14.995393600009265,15.495154999996885,15.495154999996885,15.495154999996885,15.794779400006519,left,-6.0,1,1,325.5472870000085,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
3,2,4.0,16.111284800004796,16.611975699997856,16.611975699997856,16.611975699997856,16.91192919999594,right,4.0,1,1,325.4761991000123,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
4,2,2.0,17.16120960000262,17.661362700004247,17.661362700004247,17.661362700004247,17.961414200006402,left,-2.0,1,1,325.7044553000014,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
5,2,0.0,18.444188299996313,18.94471650000196,18.94471650000196,18.94471650000196,19.244049100001575,left,-0.0,1,1,326.28826690001006,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
6,2,0.0,20.310520600003656,20.794050399999833,20.794050399999833,20.81094850000227,21.0940694000019,right,0.0,1,1,325.8387520999968,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
7,1,0.0,21.710677099996246,22.194137099999352,22.194137099999352,22.210781500005396,22.493564999997034,left,-0.0,0,0,326.06243540000287,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
8,1,1.0,23.328144500002963,23.827149300006568,23.827149300006568,23.843827999997302,24.12664780000341,left,-1.0,1,1,325.6125631000032,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
9,1,1.0,24.510683800006518,25.010627399999066,25.010627399999066,25.010627399999066,25.310920800009626,left,-1.0,1,1,325.6096610000095,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
10,1,1.0,25.69331180000154,26.194033300009323,26.194033300009323,26.194033300009323,26.49428210000042,right,1.0,1,1,325.5833560000028,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
11,1,0.0,26.860157500006608,27.36030660000688,27.36030660000688,27.36030660000688,27.660767299996223,right,0.0,1,1,325.7867155999993,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
12,0.5,0.0,28.226513000001432,28.72750100000121,28.72750100000121,28.72750100000121,29.027073699995526,left,-0.0,0,0,325.64650780000375,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
13,0.5,0.5,29.44413840000925,29.94324290000077,29.94324290000077,29.94324290000077,30.243558300004224,right,0.5,1,1,325.7124409000098,706694,001,2023-09-07_12h31.53.869,tutorial 1 final,2023.1.3,59.92484226259209,
