exp,not exp,,,,,
100,60,,exp avg,444.8888889,,
45,60,,not exp avg,364.2592593,,80.62962963
45,50,,,,,
20,600,,,,,
60,450,,,,,
10,300,,,,,
100,20,,,,,
60,300,,,,,
40,300,,,,,
80,400,,,,,
80,800,,,,,
700,700,,,,,
560,480,,,,,
450,600,,,,,
340,690,,,,,
340,360,,,,,
650,900,,,,,
100,50,,,,,
300,300,,,,,
350,100,,,,,
540,300,,,,,
560,120,,,,,
300,340,,,,,
340,300,,,,,
340,505,,,,,
470,450,,,,,
500,300,,,,,
800,,,,,,
400,,,,,,
605,,,,,,
700,,,,,,
999,,,,,,
500,,,,,,
790,,,,,,
700,,,,,,
400,,,,,,
300,,,,,,
300,,,,,,
500,,,,,,
560,,,,,,
560,,,,,,
800,,,,,,
880,,,,,,
710,,,,,,
530,,,,,,
300,,,,,,
250,,,,,,
670,,,,,,
999,,,,,,
709,,,,,,
240,,,,,,
190,,,,,,
600,,,,,,
200,,,,,,
100,,,,,,
10,,,,,,
500,,,,,,
460,,,,,,
900,,,,,,
999,,,,,,
400,,,,,,
260,,,,,,
100,,,,,,
90,,,,,,
50,,,,,,
190,,,,,,
450,,,,,,
370,,,,,,
600,,,,,,
780,,,,,,
600,,,,,,
340,,,,,,
376,,,,,,
540,,,,,,
999,,,,,,
700,,,,,,
900,,,,,,
650,,,,,,
760,,,,,,
700,,,,,,
540,,,,,,
